,Player id,Player name,team_name,label,date,matchId
0,681209,W. Lohse,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
1,738372,M. Munk Hermann,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
2,814407,G. Würtzner,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
3,740749,O. Balsløv,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
4,882056,E. Idrissi,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
7,681203,R. Berner,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
8,681202,O. Gärtig,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
9,680658,V. Schönewolf-Greulich,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
10,660888,R. Minerba,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
15,741129,W. Bjarnø,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
18,766724,Y. Belhadj,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
20,681334,O. Bringe,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
21,0,,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
29,766726,B. Alban,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
34,680663,F. Bonabi,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
41,766553,N. Danielsson,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
49,628460,V. Ramadani,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
57,915624,A. Batista,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
65,774417,E. Andersen,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
68,681195,N. Foged Hansen,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
73,0,,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
98,602506,O. Addo,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
106,769404,L.  Jensen,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
117,752747,T. Poulsen,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
921,679426,B. Klubien,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
1234,814384,S. Baltzer,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
1274,769399,F. Numelin,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
1284,766723,M. Jørgensen,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
1305,680659,T. Basbøll Nielsen,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
1306,738360,O. Madsen,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
1310,745645,M. Rabenhorst,B 93 U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
1392,681193,M. Lundgaard,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
1436,786365,C. Risgaard,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
1660,965261,M. Kristensen,Nykøbing U19,"B 93 U19 - Nykøbing U19, 6 - 0","August 12, 2023 at 2:30:00 PM GMT+2",5485569
1818,814415,A. Nathan,Hobro IK U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1819,786373,D. Nørlem,Hobro IK U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1820,680520,T. Elmelund,Helsingør U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1821,679226,N. Ankerstjerne,Hobro IK U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1823,749777,G. Ring,Helsingør U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1824,752045,H. Tarp,Helsingør U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1825,752046,M. Geisnæs Hesselholt,Helsingør U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1826,680508,A. Aakersø,Helsingør U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1827,844496,S. Slettegaard,Helsingør U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1831,680511,N. Bagger,Helsingør U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1834,679846,M. Knudsen,Hobro IK U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1837,679843,A. Bryld,Hobro IK U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1839,908264,L. Theodor Kirk,Hobro IK U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1840,0,,Helsingør U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1841,624692,A. Hadzimujic,Hobro IK U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1845,640730,D. Veiby,Hobro IK U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1846,962809,J. Poulsen,Hobro IK U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1850,627715,F. Marker,Helsingør U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
1852,762582,S. Pihl,Hobro IK U19,"Helsingør U19 - Hobro IK U19, 3 - 1","August 12, 2023 at 1:00:00 PM GMT+2",5485567
