,Player id,Player name,team_name,label,date,matchId
0,778888,J. Valtteri Lähteenmäki,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
1,685856,M. Heyde,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
2,768574,M. Dandanell Madsen,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
3,965872,E. Thor,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
4,680981,C. Husmer,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
6,705613,W. Steindorsson,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
8,684703,N. Markmann,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
10,779346,A. Stoch Rydell,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
12,679656,N. Bosselmann,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
13,679185,S. Ngabo,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
14,620816,P. Langhoff,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
16,684706,V. Berthelsen,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
17,684705,J. Meltofte Janssen,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
19,627719,L. Høgsberg,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
25,876443,O. Bødker,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
36,0,,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
38,620388,E. Otoo,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
52,679646,M. Henriksen,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
69,766583,B. Skytte,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
74,765129,L. Wernblad,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
96,627725,M. Secka,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
113,0,,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
158,625206,M. Opoku,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
169,902688,E. Chambo,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
804,627728,V. Nielsen,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
806,696286,M. Andersen Walker,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
1003,620502,M. Dosso,Lyngby U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
1235,684693,J. Lauridsen Krath,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
1535,624691,P. Kaiser,Nordsjælland U19,"Nordsjælland U19 - Lyngby U19, 2 - 2","December 10, 2023 at 1:00:00 PM GMT+1",5485387
1700,622990,J. Beluli,Horsens U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",5485383
1701,701647,H. Toftegaard,Horsens U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",5485383
1702,681116,B. Opanovic,SønderjyskE U19,"SønderjyskE U19 - Horsens U19, 2 - 0","August 11, 2023 at 1:30:00 PM GMT+2",5485383
