,Player id,Player name,team_name,label,date,matchId
0,655051,V. Schousboe,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
1,562789,M. Grandt,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
2,510674,G. Arndal-Lauritzen,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
3,627730,W. Lykke,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
5,519681,C. Jørgensen,HB Køge,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
7,562610,N. Schmidt,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
8,519688,W. Madsen,HB Køge,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
10,0,,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
11,603775,S. Friis Sharif,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
12,508329,J. Witt,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
25,361142,S. Pingel,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
27,815332,B. Kücükylidiz,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
29,449507,L. Bøje-Larsen,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
35,424422,A. Hassan,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
40,335713,P. Larsen,HB Køge,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
45,577600,J. Seehusen,HB Køge,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
51,449452,M. Gudmann,HB Køge,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
58,236019,N. Cavnić,HB Køge,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
63,303399,S. John,HB Køge,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
74,738375,D. Efe,HB Køge,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
80,56023,M. Jensen,HB Køge,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
97,568766,J. Adedeji,HB Køge,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
125,705604,E. Semovski,HB Køge,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
186,449454,A. Pedersen,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
343,0,,HB Køge,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
906,511987,T. Arndal,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
983,659984,A. Ahmad,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
1280,576250,A. Højmark-Jensen,Hillerød,"Hillerød - HB Køge, 0 - 4","July 21, 2023 at 7:00:00 PM GMT+2",5467821
